order_date,category,cat_revenue,unique_buyers,whale_interactions,newbie_interactions,loyal_interactions
2012-07-15,GenZ,55590.8,8,0,8,0
2012-07-15,Outdoor,402463.73,42,0,55,0
2012-07-15,Streetwear,3425816.32,94,0,95,0
2012-07-16,Casual,154985.75,8,0,8,0
2012-07-16,GenZ,112439.12,16,0,17,0
2012-07-16,Outdoor,406422.48,33,0,47,0
2012-07-16,Streetwear,2829954.14,82,0,82,0
2012-07-17,Casual,136733.06,6,0,6,0
2012-07-17,GenZ,129858.58,18,0,18,0
2012-07-17,Outdoor,584391.98,49,0,65,0
2012-07-17,Streetwear,3625745.87,111,0,114,0
2012-07-18,Casual,111680.6,7,0,7,0
2012-07-18,GenZ,65098.49,13,0,13,0
2012-07-18,Outdoor,612529.71,71,0,98,0
2012-07-18,Streetwear,4394832.66,135,0,138,0
2012-07-19,Casual,246184.85,13,0,13,0
2012-07-19,GenZ,147788.27,21,0,21,0
2012-07-19,Outdoor,929098.79,80,0,106,0
2012-07-19,Streetwear,5098415.2,149,0,149,0
2012-07-20,Casual,56400.45,3,0,3,0
2012-07-20,GenZ,172189.11,21,0,21,0
2012-07-20,Outdoor,982891.8,82,0,109,0
2012-07-20,Streetwear,3959989.1,124,0,125,0
2012-07-21,Casual,15316.86,1,0,1,0
2012-07-21,GenZ,48848.18,10,0,10,0
2012-07-21,Outdoor,638763.14,62,0,85,0
2012-07-21,Streetwear,2739228.84,99,0,100,0
2012-07-22,Casual,83323.5,6,0,6,0
2012-07-22,GenZ,44484.45,6,0,6,0
2012-07-22,Outdoor,497539.58,51,0,72,0
2012-07-22,Streetwear,2492203.04,76,0,76,0
2012-07-23,Casual,42822.25,3,0,3,0
2012-07-23,GenZ,163914.73,15,0,15,0
2012-07-23,Outdoor,704973.4,65,0,88,0
2012-07-23,Streetwear,3818807.31,123,0,125,0
2012-07-24,Casual,52468.649999999994,4,0,4,0
2012-07-24,GenZ,50145.61,7,0,7,0
2012-07-24,Outdoor,761774.86,62,0,85,0
2012-07-24,Streetwear,3232107.0,112,0,113,0
2012-07-25,Casual,137140.28,8,0,8,0
2012-07-25,GenZ,90572.58,13,0,13,0
2012-07-25,Outdoor,653587.13,65,0,86,0
2012-07-25,Streetwear,4365388.09,137,0,139,0
2012-07-26,Casual,172011.63,9,0,9,0
2012-07-26,GenZ,64268.119999999995,11,0,11,0
2012-07-26,Outdoor,1267384.98,104,0,141,0
2012-07-26,Streetwear,4348300.33,147,0,147,0
2012-07-27,Casual,65985.96,5,0,6,0
2012-07-27,GenZ,88932.33,8,0,8,0
2012-07-27,Outdoor,731392.24,66,0,88,0
2012-07-27,Streetwear,4270388.92,133,0,135,0
2012-07-28,Casual,75853.7,4,0,4,0
2012-07-28,GenZ,38899.700000000004,6,0,6,0
2012-07-28,Outdoor,737411.58,62,0,83,0
2012-07-28,Streetwear,3474791.86,105,0,105,0
2012-07-29,Casual,41423.92,4,0,4,0
2012-07-29,GenZ,81296.81,12,0,12,0
2012-07-29,Outdoor,552725.03,55,0,70,0
2012-07-29,Streetwear,4128753.89,136,0,137,0
2012-07-30,Casual,95055.77,7,0,7,0
2012-07-30,GenZ,86331.82,11,0,11,0
2012-07-30,Outdoor,1080092.51,85,0,117,0
2012-07-30,Streetwear,5324650.85,161,0,166,0
2012-07-31,Casual,192029.96,10,0,10,0
2012-07-31,GenZ,153750.73,25,0,25,0
2012-07-31,Outdoor,1616771.4,128,0,176,0
2012-07-31,Streetwear,7189070.05,219,0,226,0
2012-08-01,Casual,105850.02,6,0,6,0
2012-08-01,GenZ,158382.58,22,0,22,0
2012-08-01,Outdoor,1236246.31,108,0,135,0
2012-08-01,Streetwear,7647878.39,224,0,229,0
2012-08-02,Casual,293154.22000000003,13,0,13,0
2012-08-02,GenZ,123855.24,21,0,21,0
2012-08-02,Outdoor,1429076.52,135,0,170,0
2012-08-02,Streetwear,7846341.02,245,0,248,0
2012-08-03,Casual,245873.78999999998,6,0,6,0
2012-08-03,GenZ,64730.58,11,0,11,0
2012-08-03,Outdoor,1240352.65,102,0,135,0
2012-08-03,Streetwear,7746312.93,237,0,239,0
2012-08-04,Casual,97285.6,6,0,6,0
2012-08-04,GenZ,161586.31,19,0,19,0
2012-08-04,Outdoor,752616.9299999999,66,0,84,0
2012-08-04,Streetwear,5372706.19,155,0,158,0
2012-08-05,Casual,107874.64000000001,4,0,4,0
2012-08-05,GenZ,13225.14,2,0,2,0
2012-08-05,Outdoor,182713.8,15,0,16,0
2012-08-05,Streetwear,2055410.6099999999,55,0,55,0
2012-08-06,Casual,46286.52,2,0,2,0
2012-08-06,GenZ,29894.18,5,0,5,0
2012-08-06,Outdoor,320108.32,26,0,34,0
2012-08-06,Streetwear,3233714.68,81,0,82,0
2012-08-07,GenZ,11582.16,2,0,2,0
2012-08-07,Outdoor,355956.69,31,0,44,0
2012-08-07,Streetwear,1872714.5899999999,58,0,58,0
2012-08-08,Casual,27348.62,3,0,3,0
2012-08-08,GenZ,106743.99,10,0,10,0
2012-08-08,Outdoor,449860.88,45,0,61,0
2012-08-08,Streetwear,2033599.87,71,0,71,0
2012-08-09,Casual,128160.54000000001,5,0,5,0
2012-08-09,GenZ,66571.96,13,0,13,0
2012-08-09,Outdoor,490701.83999999997,46,0,61,0
2012-08-09,Streetwear,3793257.18,92,0,92,0
2012-08-10,GenZ,38096.520000000004,6,0,6,0
2012-08-10,Outdoor,518482.35,57,0,70,0
2012-08-10,Streetwear,2855917.78,95,0,95,0
2012-08-11,Casual,25604.300000000003,2,0,2,0
2012-08-11,GenZ,126836.25,10,0,10,0
2012-08-11,Outdoor,361392.98,40,0,52,0
2012-08-11,Streetwear,2218770.82,59,0,60,0
2012-08-12,Casual,28464.3,1,0,1,0
2012-08-12,GenZ,65303.21,6,0,6,0
2012-08-12,Outdoor,568076.11,50,0,71,0
2012-08-12,Streetwear,2726338.21,80,0,82,0
2012-08-13,Casual,12337.650000000001,1,0,1,0
2012-08-13,GenZ,43750.75,6,0,6,0
2012-08-13,Outdoor,686123.73,49,0,64,0
2012-08-13,Streetwear,3185957.88,97,0,99,0
2012-08-14,Casual,22516.760000000002,3,0,3,0
2012-08-14,GenZ,78394.23,9,0,10,0
2012-08-14,Outdoor,524129.9,48,0,64,0
2012-08-14,Streetwear,3408871.27,93,0,94,0
2012-08-15,Casual,42400.59,2,0,2,0
2012-08-15,GenZ,73725.34,10,0,10,0
2012-08-15,Outdoor,667034.56,61,0,78,0
2012-08-15,Streetwear,2997132.77,88,0,89,0
2012-08-16,GenZ,91639.32,10,0,10,0
2012-08-16,Outdoor,1115534.75,81,0,114,0
2012-08-16,Streetwear,4042804.11,118,0,118,0
2012-08-17,Casual,66134.75,4,0,4,0
2012-08-17,GenZ,78644.17,9,0,9,0
2012-08-17,Outdoor,498540.23,52,0,67,0
2012-08-17,Streetwear,3445964.9,93,0,93,0
2012-08-18,Casual,39093.38,3,0,3,0
2012-08-18,GenZ,41723.53,6,0,6,0
2012-08-18,Outdoor,494841.54,37,0,48,0
2012-08-18,Streetwear,2874357.26,89,0,89,0
2012-08-19,Casual,17946.5,1,0,1,0
2012-08-19,GenZ,28660.21,5,0,5,0
2012-08-19,Outdoor,926446.4,61,0,86,0
2012-08-19,Streetwear,2931247.82,89,0,89,0
2012-08-20,Casual,175060.87,5,0,5,0
2012-08-20,GenZ,59988.62,11,0,11,0
2012-08-20,Outdoor,674157.81,58,0,80,0
2012-08-20,Streetwear,2631820.02,84,0,84,0
2012-08-21,Casual,91956.83999999998,4,0,4,0
2012-08-21,GenZ,90515.15,13,0,13,0
2012-08-21,Outdoor,611864.98,51,0,67,0
2012-08-21,Streetwear,3353146.26,104,0,104,0
2012-08-22,Casual,19103.76,1,0,1,0
2012-08-22,GenZ,61269.71,11,0,11,0
2012-08-22,Outdoor,767280.13,65,0,78,0
2012-08-22,Streetwear,3750029.21,108,0,110,0
2012-08-23,Casual,93536.48,5,0,5,0
2012-08-23,GenZ,98967.69,13,0,13,0
2012-08-23,Outdoor,1121928.0,87,0,114,0
2012-08-23,Streetwear,4164437.38,124,0,125,0
2012-08-24,Casual,71587.76000000001,3,0,3,0
2012-08-24,GenZ,75949.5,8,0,8,0
2012-08-24,Outdoor,690911.5599999999,68,0,87,0
2012-08-24,Streetwear,3799401.75,118,0,119,0
2012-08-25,Casual,22527.6,1,0,1,0
2012-08-25,GenZ,24915.14,2,0,2,0
2012-08-25,Outdoor,495482.02999999997,44,0,61,0
2012-08-25,Streetwear,3046641.51,92,0,93,0
2012-08-26,Casual,40321.049999999996,1,0,1,0
2012-08-26,GenZ,84557.43,8,0,8,0
2012-08-26,Outdoor,837361.46,55,0,75,0
2012-08-26,Streetwear,3317964.59,97,0,97,0
2012-08-27,Casual,28314.28,3,0,3,0
2012-08-27,GenZ,30203.86,7,0,7,0
2012-08-27,Outdoor,494280.29,51,0,64,0
2012-08-27,Streetwear,2486097.41,77,0,79,0
2012-08-28,Casual,139916.5,9,0,9,0
2012-08-28,GenZ,153439.59,22,0,22,0
2012-08-28,Outdoor,2041300.18,162,0,209,0
2012-08-28,Streetwear,7174020.35,205,0,208,0
2012-08-29,Casual,207587.5,13,0,13,0
2012-08-29,GenZ,111101.15,17,0,17,0
2012-08-29,Outdoor,2021341.96,151,0,201,0
2012-08-29,Streetwear,6920527.71,204,0,210,0
2012-08-30,Casual,173309.83000000002,8,0,8,0
2012-08-30,GenZ,154256.74,22,0,22,0
2012-08-30,Outdoor,1796198.44,144,0,184,0
2012-08-30,Streetwear,7962769.09,235,0,240,0
2012-08-31,Casual,236494.91999999998,14,0,14,0
2012-08-31,GenZ,180701.48,26,0,26,0
2012-08-31,Outdoor,1828996.15,144,0,194,0
2012-08-31,Streetwear,6858485.97,211,0,217,0
2012-09-01,Casual,33565.16,2,0,2,0
2012-09-01,GenZ,100829.02,15,0,15,0
2012-09-01,Outdoor,1573688.07,127,0,168,0
2012-09-01,Streetwear,6852126.67,199,0,205,0
2012-09-02,Casual,41117.9,2,0,2,0
2012-09-02,GenZ,62992.86,7,0,7,0
2012-09-02,Outdoor,475103.15,36,0,43,0
2012-09-02,Streetwear,2007885.53,60,0,62,0
2012-09-03,Casual,105952.33,5,0,5,0
2012-09-03,GenZ,32196.66,6,0,6,0
2012-09-03,Outdoor,723757.86,53,0,69,0
2012-09-03,Streetwear,3003598.16,85,0,86,0
2012-09-04,Casual,13113.119999999999,1,0,1,0
2012-09-04,GenZ,40047.82,7,0,7,0
2012-09-04,Outdoor,506739.63,44,0,62,0
2012-09-04,Streetwear,3085848.87,96,0,97,0
2012-09-05,GenZ,35198.63,5,0,5,0
2012-09-05,Outdoor,430324.68,31,0,41,0
2012-09-05,Streetwear,1932662.2,51,0,51,0
2012-09-06,Casual,102404.81999999999,3,0,3,0
2012-09-06,GenZ,84020.73,7,0,7,0
2012-09-06,Outdoor,547177.41,52,0,70,0
2012-09-06,Streetwear,2124624.41,57,0,57,0
2012-09-07,Casual,39744.54,2,0,2,0
2012-09-07,GenZ,29342.010000000002,3,0,3,0
2012-09-07,Outdoor,649783.31,53,0,69,0
2012-09-07,Streetwear,2563883.94,78,0,78,0
2012-09-08,Casual,28262.96,2,0,2,0
2012-09-08,GenZ,49739.55,9,0,9,0
2012-09-08,Outdoor,541189.87,43,0,52,0
2012-09-08,Streetwear,3047012.51,76,0,76,0
2012-09-09,Casual,55454.54,3,0,3,0
2012-09-09,GenZ,62035.82,8,0,8,0
2012-09-09,Outdoor,843535.76,66,0,87,0
2012-09-09,Streetwear,3497475.3,92,0,92,0
2012-09-10,Casual,61433.399999999994,3,0,3,0
2012-09-10,GenZ,99453.45,12,0,12,0
2012-09-10,Outdoor,1028577.3,80,0,100,0
2012-09-10,Streetwear,3359498.64,92,0,93,0
2012-09-11,Casual,150817.33000000002,4,0,4,0
2012-09-11,GenZ,24645.75,4,0,4,0
2012-09-11,Outdoor,502351.27,40,0,51,0
2012-09-11,Streetwear,3343751.2,81,0,83,0
2012-09-12,Casual,17676.57,3,0,3,0
2012-09-12,GenZ,38729.55,5,0,5,0
2012-09-12,Outdoor,620657.21,40,0,51,0
2012-09-12,Streetwear,2658914.96,61,0,61,0
2012-09-13,Casual,29693.01,2,0,2,0
2012-09-13,GenZ,41659.329999999994,7,0,7,0
2012-09-13,Outdoor,700658.43,47,0,61,0
2012-09-13,Streetwear,1837598.52,59,0,59,0
2012-09-14,Casual,45956.4,2,0,2,0
2012-09-14,GenZ,73011.66,10,0,10,0
2012-09-14,Outdoor,438250.63,38,0,49,0
2012-09-14,Streetwear,3172009.7399999998,86,0,87,0
2012-09-15,Casual,89063.61,5,0,5,0
2012-09-15,GenZ,6738.42,1,0,1,0
2012-09-15,Outdoor,751614.4,53,0,77,0
2012-09-15,Streetwear,2757709.21,69,0,69,0
2012-09-16,Casual,50893.69,3,0,3,0
2012-09-16,GenZ,34115.96,6,0,6,0
2012-09-16,Outdoor,925238.3,66,0,87,0
2012-09-16,Streetwear,3441764.49,99,0,100,0
2012-09-17,Casual,49139.69,3,0,3,0
2012-09-17,GenZ,77131.36,9,0,9,0
2012-09-17,Outdoor,1083017.31,86,0,114,0
2012-09-17,Streetwear,3602500.31,109,0,109,0
2012-09-18,Casual,17290.550000000003,2,0,2,0
2012-09-18,GenZ,25426.590000000004,7,0,7,0
2012-09-18,Outdoor,874198.84,68,0,86,0
2012-09-18,Streetwear,4161962.09,104,0,106,0
2012-09-19,Casual,36639.86,4,0,4,0
2012-09-19,GenZ,41750.41,6,0,6,0
2012-09-19,Outdoor,726962.64,61,0,78,0
2012-09-19,Streetwear,2874888.71,76,0,76,0
2012-09-20,Casual,7247.38,1,0,1,0
2012-09-20,GenZ,56553.14,10,0,10,0
2012-09-20,Outdoor,805943.5,64,0,82,0
2012-09-20,Streetwear,2893399.73,85,0,85,0
2012-09-21,Casual,107897.85,5,0,5,0
2012-09-21,GenZ,47198.55,7,0,7,0
2012-09-21,Outdoor,572108.92,51,0,64,0
2012-09-21,Streetwear,3216562.82,85,0,85,0
2012-09-22,Casual,50744.28,4,0,4,0
2012-09-22,GenZ,50470.21,7,0,7,0
2012-09-22,Outdoor,939319.28,64,0,90,0
2012-09-22,Streetwear,2831840.26,83,0,85,0
2012-09-23,Casual,37137.59,3,0,3,0
2012-09-23,GenZ,76355.77,12,0,12,0
2012-09-23,Outdoor,941035.62,74,0,92,0
2012-09-23,Streetwear,3063770.56,88,0,88,0
2012-09-24,Casual,51631.75,4,0,4,0
2012-09-24,GenZ,54523.97,7,0,7,0
2012-09-24,Outdoor,955897.02,93,0,121,0
2012-09-24,Streetwear,4671210.79,139,0,139,0
2012-09-25,Casual,73142.44,5,0,5,0
2012-09-25,GenZ,96525.42,11,0,11,0
2012-09-25,Outdoor,1459077.77,106,0,136,0
2012-09-25,Streetwear,4011151.9,122,0,122,0
2012-09-26,Casual,56226.869999999995,4,0,4,0
2012-09-26,GenZ,98357.56,12,0,12,0
2012-09-26,Outdoor,1034801.99,78,0,101,0
2012-09-26,Streetwear,3402896.17,107,0,109,0
2012-09-27,Casual,184953.8,10,0,10,0
2012-09-27,GenZ,41120.18,12,0,12,0
2012-09-27,Outdoor,2130708.05,170,0,219,0
2012-09-27,Streetwear,5200110.63,155,0,158,0
2012-09-28,Casual,107350.16,8,0,8,0
2012-09-28,GenZ,57528.0,8,0,8,0
2012-09-28,Outdoor,1043151.26,101,0,120,0
2012-09-28,Streetwear,3684601.7199999997,104,0,105,0
2012-09-29,Casual,143543.63,8,0,8,0
2012-09-29,GenZ,97950.70000000001,9,0,9,0
2012-09-29,Outdoor,1163801.32,93,0,120,0
2012-09-29,Streetwear,3899078.81,114,0,117,0
2012-09-30,Casual,44968.69,3,0,3,0
2012-09-30,GenZ,36142.99,6,0,6,0
2012-09-30,Outdoor,1171212.92,81,0,110,0
2012-09-30,Streetwear,3442055.2600000002,105,0,106,0
2012-10-01,Casual,224212.83000000002,6,0,6,0
2012-10-01,GenZ,17747.92,3,0,3,0
2012-10-01,Outdoor,965502.22,78,0,103,0
2012-10-01,Streetwear,3545069.13,116,0,117,0
2012-10-02,GenZ,2274.16,1,0,1,0
2012-10-02,Outdoor,558381.21,35,0,43,0
2012-10-02,Streetwear,2672480.41,68,0,68,0
2012-10-03,Casual,89457.61,4,0,4,0
2012-10-03,GenZ,41972.68,4,0,4,0
2012-10-03,Outdoor,367200.55,32,0,38,0
2012-10-03,Streetwear,3016501.19,67,0,68,0
2012-10-04,Casual,31378.219999999998,2,0,2,0
2012-10-04,GenZ,27940.56,2,0,2,0
2012-10-04,Outdoor,236685.2,22,0,30,0
2012-10-04,Streetwear,2102133.76,49,0,51,0
2012-10-05,Casual,18111.64,1,0,1,0
2012-10-05,GenZ,35095.76,4,0,4,0
2012-10-05,Outdoor,471019.88,33,0,45,0
2012-10-05,Streetwear,2141725.78,63,0,63,0
2012-10-06,Casual,7021.88,1,0,1,0
2012-10-06,GenZ,5680.4,1,0,1,0
2012-10-06,Outdoor,385798.05,26,0,34,0
2012-10-06,Streetwear,1806766.6099999999,52,0,53,0
2012-10-07,Casual,82711.21,4,0,4,0
2012-10-07,GenZ,33004.66,4,0,4,0
2012-10-07,Outdoor,449412.02,36,0,50,0
2012-10-07,Streetwear,2824470.18,65,0,68,0
2012-10-08,Casual,36781.41,3,0,3,0
2012-10-08,GenZ,22649.82,4,0,4,0
2012-10-08,Outdoor,763421.66,56,0,76,0
2012-10-08,Streetwear,3214186.56,77,0,78,0
2012-10-09,Casual,46044.68,4,0,4,0
2012-10-09,GenZ,68038.98999999999,12,0,12,0
2012-10-09,Outdoor,810364.2,59,0,81,0
2012-10-09,Streetwear,3374227.89,90,0,92,0
2012-10-10,Casual,17132.78,1,0,1,0
2012-10-10,GenZ,49164.83,8,0,8,0
2012-10-10,Outdoor,694772.76,52,0,68,0
2012-10-10,Streetwear,2787646.3,70,0,70,0
2012-10-11,Casual,7190.9,1,0,1,0
2012-10-11,GenZ,14320.83,3,0,3,0
2012-10-11,Outdoor,471637.7,35,0,47,0
2012-10-11,Streetwear,2928340.96,68,0,68,0
2012-10-12,Casual,68510.91,4,0,4,0
2012-10-12,GenZ,45106.270000000004,4,0,4,0
2012-10-12,Outdoor,439177.64,31,0,42,0
2012-10-12,Streetwear,1827325.05,55,0,55,0
2012-10-13,Casual,82849.47,4,0,4,0
2012-10-13,GenZ,39526.93,6,0,6,0
2012-10-13,Outdoor,527679.64,57,0,73,0
2012-10-13,Streetwear,2147955.4,57,0,57,0
2012-10-14,Casual,50851.31,4,0,4,0
2012-10-14,GenZ,32514.08,4,0,4,0
2012-10-14,Outdoor,628639.86,50,0,70,0
2012-10-14,Streetwear,2343624.53,58,0,60,0
2012-10-15,Casual,27099.68,2,0,2,0
2012-10-15,GenZ,20915.98,3,0,3,0
2012-10-15,Outdoor,740990.55,64,0,85,0
2012-10-15,Streetwear,2445511.09,70,0,70,0
2012-10-16,Casual,98933.8,7,0,7,0
2012-10-16,GenZ,42669.21,7,0,7,0
2012-10-16,Outdoor,736337.83,59,0,78,0
2012-10-16,Streetwear,2671357.37,77,0,77,0
2012-10-17,Casual,68974.75,4,0,4,0
2012-10-17,GenZ,35500.770000000004,5,0,5,0
2012-10-17,Outdoor,599453.1,46,0,66,0
2012-10-17,Streetwear,3114119.38,80,0,80,0
2012-10-18,Casual,45956.6,1,0,1,0
2012-10-18,GenZ,51934.59,8,0,8,0
2012-10-18,Outdoor,535809.9,39,0,53,0
2012-10-18,Streetwear,2276027.8,59,0,59,0
2012-10-19,Casual,86339.75,2,0,2,0
2012-10-19,GenZ,10402.17,1,0,1,0
2012-10-19,Outdoor,491625.15,40,0,55,0
2012-10-19,Streetwear,2289012.74,57,0,57,0
2012-10-20,Casual,9700.24,1,0,1,0
2012-10-20,GenZ,7104.130000000001,2,0,2,0
2012-10-20,Outdoor,488684.39,37,0,49,0
2012-10-20,Streetwear,2737068.54,66,0,66,0
2012-10-21,Casual,93792.47,5,0,5,0
2012-10-21,GenZ,43803.829999999994,7,0,7,0
2012-10-21,Outdoor,629270.01,48,0,62,0
2012-10-21,Streetwear,1628743.6,53,0,53,0
2012-10-22,Casual,28812.8,1,0,1,0
2012-10-22,GenZ,53173.97,6,0,6,0
2012-10-22,Outdoor,804094.4400000001,57,0,77,0
2012-10-22,Streetwear,2710077.13,78,0,78,0
2012-10-23,Casual,43261.84,1,0,1,0
2012-10-23,GenZ,89880.76,10,0,10,0
2012-10-23,Outdoor,980290.9,85,0,111,0
2012-10-23,Streetwear,2885708.38,76,0,76,0
2012-10-24,Casual,10591.56,2,0,2,0
2012-10-24,GenZ,27572.859999999997,4,0,4,0
2012-10-24,Outdoor,887202.72,69,0,97,0
2012-10-24,Streetwear,2903812.85,77,0,78,0
2012-10-25,Casual,24075.100000000002,1,0,1,0
2012-10-25,GenZ,35132.83,6,0,6,0
2012-10-25,Outdoor,703212.93,58,0,70,0
2012-10-25,Streetwear,2342039.66,63,0,63,0
2012-10-26,GenZ,31638.57,5,0,5,0
2012-10-26,Outdoor,612125.28,48,0,56,0
2012-10-26,Streetwear,1495163.32,38,0,38,0
2012-10-27,Casual,28658.120000000003,2,0,2,0
2012-10-27,GenZ,65528.21000000001,8,0,8,0
2012-10-27,Outdoor,731567.01,58,0,82,0
2012-10-27,Streetwear,1991119.0,54,0,54,0
2012-10-28,Casual,69636.92,5,0,5,0
2012-10-28,GenZ,75813.69,11,0,11,0
2012-10-28,Outdoor,1459038.99,119,0,161,0
2012-10-28,Streetwear,4655394.23,124,0,124,0
2012-10-29,Casual,173988.89,7,0,7,0
2012-10-29,GenZ,63869.86,9,0,9,0
2012-10-29,Outdoor,1319356.8,110,0,146,0
2012-10-29,Streetwear,3867323.55,109,0,110,0
2012-10-30,Casual,80614.86,5,0,5,0
2012-10-30,GenZ,34097.15,5,0,5,0
2012-10-30,Outdoor,1560381.18,122,0,172,0
2012-10-30,Streetwear,4672181.7,118,0,120,0
2012-10-31,Casual,161265.61,9,0,9,0
2012-10-31,GenZ,80604.97,8,0,8,0
2012-10-31,Outdoor,1164214.03,95,0,123,0
2012-10-31,Streetwear,3536593.28,102,0,104,0
2012-11-01,Casual,128323.5,7,0,7,0
2012-11-01,GenZ,34570.939999999995,6,0,6,0
2012-11-01,Outdoor,1169873.81,91,0,126,0
2012-11-01,Streetwear,4203980.1,95,0,99,0
2012-11-02,Casual,22836.319999999996,2,0,2,0
2012-11-02,GenZ,5869.49,2,0,2,0
2012-11-02,Outdoor,325241.82,29,0,38,0
2012-11-02,Streetwear,1582883.45,35,0,35,0
2012-11-03,Casual,14776.09,2,0,2,0
2012-11-03,GenZ,19209.83,3,0,3,0
2012-11-03,Outdoor,399978.95,34,0,39,0
2012-11-03,Streetwear,2477883.74,45,0,47,0
2012-11-04,Casual,65550.68000000001,4,0,4,0
2012-11-04,Outdoor,547440.98,35,0,45,0
2012-11-04,Streetwear,2045841.09,47,0,47,0
2012-11-05,Casual,9234.24,2,0,2,0
2012-11-05,GenZ,18540.16,3,0,3,0
2012-11-05,Outdoor,837747.89,56,0,71,0
2012-11-05,Streetwear,2466926.17,69,0,70,0
2012-11-06,Casual,33324.89,2,0,2,0
2012-11-06,GenZ,40544.44,4,0,4,0
2012-11-06,Outdoor,404549.03,33,0,40,0
2012-11-06,Streetwear,2961076.65,70,0,70,0
2012-11-07,Casual,3539.61,1,0,1,0
2012-11-07,Outdoor,414984.18,29,0,38,0
2012-11-07,Streetwear,1551292.1199999999,38,0,38,0
2012-11-08,Casual,27254.71,3,0,3,0
2012-11-08,GenZ,16551.95,2,0,2,0
2012-11-08,Outdoor,495947.06,35,0,50,0
2012-11-08,Streetwear,1657962.45,47,0,48,0
2012-11-09,Casual,16883.71,2,0,2,0
2012-11-09,GenZ,26372.82,4,0,4,0
2012-11-09,Outdoor,552685.96,46,0,61,0
2012-11-09,Streetwear,2324367.57,55,0,57,0
2012-11-10,Casual,79989.3,5,0,5,0
2012-11-10,GenZ,5916.5,1,0,1,0
2012-11-10,Outdoor,816909.74,60,0,80,0
2012-11-10,Streetwear,2222177.73,56,0,57,0
2012-11-11,Casual,39970.79,3,0,3,0
2012-11-11,GenZ,34678.520000000004,6,0,6,0
2012-11-11,Outdoor,950463.48,67,0,85,0
2012-11-11,Streetwear,2459761.5100000002,62,0,64,0
2012-11-12,Casual,122633.01999999999,6,0,6,0
2012-11-12,GenZ,22212.21,3,0,3,0
2012-11-12,Outdoor,1066044.46,96,0,135,0
2012-11-12,Streetwear,2596088.37,68,0,69,0
2012-11-13,Casual,27370.08,1,0,1,0
2012-11-13,GenZ,53179.77,5,0,5,0
2012-11-13,Outdoor,825536.9,65,0,84,0
2012-11-13,Streetwear,2942411.31,77,0,77,0
2012-11-14,Casual,137513.97,4,0,4,0
2012-11-14,GenZ,60107.94,6,0,6,0
2012-11-14,Outdoor,724443.84,58,0,80,0
2012-11-14,Streetwear,2291452.89,64,0,64,0
2012-11-15,Casual,183956.55,6,0,6,0
2012-11-15,GenZ,35967.12,6,0,6,0
2012-11-15,Outdoor,887136.51,68,0,93,0
2012-11-15,Streetwear,1889298.19,56,0,56,0
2012-11-16,GenZ,16527.14,5,0,5,0
2012-11-16,Outdoor,566370.09,55,0,72,0
2012-11-16,Streetwear,2268606.75,57,0,57,0
2012-11-17,GenZ,15120.84,1,0,1,0
2012-11-17,Outdoor,752908.64,69,0,93,0
2012-11-17,Streetwear,2490449.92,53,0,53,0
