date,total_orders,unique_buyers,Revenue,sessions,visitors,AOV
2012-11-18,131,130,3292697.97,,,25135.09900763359
2012-11-19,168,168,4654711.93,,,27706.61863095238
2012-11-20,143,143,3532139.01,,,24700.272797202797
2012-11-21,139,135,3144567.59,,,22622.788417266187
2012-11-22,108,106,2661394.83,,,24642.544722222225
2012-11-23,142,141,3625609.77,,,25532.463169014085
2012-11-24,133,133,2283866.51,,,17171.92864661654
2012-11-25,124,124,2891169.43,,,23315.8825
2012-11-26,180,178,3626699.25,,,20148.329166666666
2012-11-27,257,254,4703189.22,,,18300.347159533074
2012-11-28,218,212,3980270.66,,,18258.12229357798
2012-11-29,176,173,3116036.61,,,17704.75346590909
2012-11-30,186,184,3184691.98,,,17121.99989247312
2012-12-01,180,177,3064822.76,,,17026.79311111111
2012-12-02,60,60,1765509.34,,,29425.15566666667
2012-12-03,83,81,2315389.05,,,27896.25361445783
2012-12-04,105,105,2382954.42,,,22694.804
2012-12-05,92,90,2286277.45,,,24850.84184782609
2012-12-06,82,82,2733678.5,,,33337.54268292683
2012-12-07,99,98,2065198.04,,,20860.586262626264
2012-12-08,111,111,2087384.34,,,18805.264324324326
2012-12-09,127,125,2430122.78,,,19134.825039370076
2012-12-10,149,146,2542389.69,,,17063.018053691274
2012-12-11,192,190,3699430.17,,,19267.86546875
2012-12-12,198,195,4386420.92,,,22153.64101010101
2012-12-13,138,138,2326824.81,,,16861.049347826087
2012-12-14,149,146,2659317.57,,,17847.768926174496
2012-12-15,196,194,3385542.75,,,17273.17729591837
2012-12-16,204,202,3484853.43,,,17082.614852941177
2012-12-17,254,249,4281691.85,,,16857.054527559052
2012-12-18,267,264,4394537.67,,,16458.942584269662
2012-12-19,263,262,3785472.73,,,14393.432433460075
2012-12-20,227,223,3905985.95,,,17206.986563876653
2012-12-21,252,252,3966203.09,,,15738.90115079365
2012-12-22,218,216,3225123.87,,,14794.146192660552
2012-12-23,166,164,2151580.15,,,12961.326204819277
2012-12-24,258,250,3297376.6,,,12780.529457364342
2012-12-25,341,335,4917024.98,,,14419.428093841643
2012-12-26,262,257,3285221.25,,,12539.012404580153
2012-12-27,302,297,4994041.71,,,16536.561953642384
2012-12-28,558,553,8573663.31,,,15364.98801075269
2012-12-29,459,455,7842913.37,,,17086.95723311547
2012-12-30,351,348,6511908.92,,,18552.447065527067
2012-12-31,341,339,5573749.22,,,16345.305630498533
2013-01-01,288,283,5304546.99,9760,7253,18418.5659375
2013-01-02,47,47,1606940.44,10456,8151,34190.222127659574
2013-01-03,81,80,2281680.01,10076,7458,28168.889012345677
2013-01-04,83,82,2376895.46,9973,8063,28637.29469879518
2013-01-05,78,77,2509462.77,10223,7882,32172.599615384617
2013-01-06,93,93,2603356.52,9545,6992,27993.080860215054
2013-01-07,113,113,3048100.39,10203,7354,26974.339734513276
2013-01-08,90,90,2449700.42,9456,7459,27218.893555555554
2013-01-09,75,75,2049715.7,9162,7108,27329.542666666664
2013-01-10,79,79,2794331.46,9887,7878,35371.28430379747
2013-01-11,79,79,2343077.25,9412,7368,29659.20569620253
2013-01-12,92,90,2814596.53,8730,6136,30593.44054347826
2013-01-13,112,112,2919719.62,8818,6863,26068.92517857143
2013-01-14,120,116,3077677.28,8230,6203,25647.310666666664
2013-01-15,117,115,2536405.93,8102,6179,21678.683162393165
2013-01-16,76,76,1849789.43,9373,7503,24339.334605263157
2013-01-17,83,83,2173214.95,9819,7503,26183.312650602413
2013-01-18,96,94,2099249.56,10041,7821,21867.18291666667
2013-01-19,94,93,2477132.79,8746,6138,26352.476489361703
2013-01-20,116,113,2522776.58,10270,8030,21748.073965517244
2013-01-21,148,144,4100379.42,10339,8283,27705.26635135135
2013-01-22,128,126,3538734.12,10100,7469,27646.3603125
2013-01-23,114,112,2836455.88,9307,7261,24881.19192982456
2013-01-24,108,107,2522924.71,9698,7034,23360.41398148148
2013-01-25,123,122,2823082.71,10600,7868,22951.891951219513
2013-01-26,107,106,2312290.79,10226,8004,21610.19429906542
2013-01-27,152,150,3818881.29,8604,6327,25124.219013157894
2013-01-28,207,205,5008712.77,9701,7636,24196.680048309176
2013-01-29,214,209,4833870.43,8638,6928,22588.17957943925
2013-01-30,185,182,4296295.37,8596,6245,23223.218216216217
2013-01-31,167,165,3378679.46,8915,6530,20231.61353293413
2013-02-01,163,160,4073777.92,15758,11220,24992.502576687115
2013-02-02,80,79,2351969.75,15027,12295,29399.621875
2013-02-03,102,102,2743224.75,14372,10507,26894.360294117647
2013-02-04,151,151,3599084.22,15623,12726,23834.994834437086
2013-02-05,133,130,3829186.14,14177,11064,28790.873233082708
2013-02-06,87,87,2313071.08,14103,10525,26587.02390804598
2013-02-07,101,100,2839296.13,14761,10967,28111.84287128713
2013-02-08,100,100,2648161.4,14467,10993,26481.613999999998
2013-02-09,122,120,2957587.36,14578,10995,24242.519344262295
2013-02-10,139,137,3380985.73,16602,12760,24323.63834532374
2013-02-11,187,185,4189315.44,15063,11080,22402.756363636363
2013-02-12,163,162,3967295.55,15368,11408,24339.236503067485
2013-02-13,118,116,3156812.35,13346,9812,26752.647033898305
2013-02-14,142,140,3286622.13,17180,13040,23145.226267605634
2013-02-15,111,110,2860640.37,13633,10416,25771.534864864865
2013-02-16,140,140,3339909.75,15360,12159,23856.498214285715
2013-02-17,150,146,3433567.61,14662,10421,22890.45073333333
2013-02-18,183,183,4473211.04,13304,9946,24443.77617486339
2013-02-19,174,173,4318301.23,16231,11522,24817.823160919543
2013-02-20,148,147,3392471.04,14347,11037,22922.101621621623
2013-02-21,141,140,3412803.18,14194,11525,24204.277872340426
2013-02-22,154,153,3535377.38,15750,12758,22956.995974025973
2013-02-23,179,178,4286140.45,14540,11603,23944.9187150838
2013-02-24,243,240,5419232.89,13758,9915,22301.369917695472
2013-02-25,411,408,9128225.25,13676,10852,22209.793795620437
2013-02-26,329,321,6762535.71,15824,11642,20554.819787234042
2013-02-27,299,294,5716765.68,15908,11989,19119.617658862877
2013-02-28,211,210,4367566.41,15284,11512,20699.366872037914
2013-03-01,142,140,2693901.21,20573,15216,18971.13528169014
2013-03-02,9,9,279813.94,18275,14004,31090.437777777777
2013-03-03,48,48,1959484.08,19075,15498,40822.585
2013-03-04,56,56,1412869.43,21760,16400,25229.81125
2013-03-05,83,82,2440470.72,21169,15161,29403.26168674699
2013-03-06,110,110,3247761.18,19422,13780,29525.101636363637
2013-03-07,161,159,4017685.67,20205,14897,24954.569378881988
2013-03-08,139,138,3622255.55,21327,17243,26059.392446043163
2013-03-09,118,118,3263371.09,20046,15758,27655.68720338983
2013-03-10,129,128,3510986.19,19505,15320,27216.947209302325
2013-03-11,134,131,3242639.13,21480,15406,24198.79947761194
2013-03-12,149,149,3660190.99,16857,13571,24565.040201342283
2013-03-13,181,177,4335373.37,23166,18652,23952.33906077348
2013-03-14,245,243,6692797.3,18997,14391,27317.54
2013-03-15,207,205,5330057.69,20137,15797,25749.070966183575
2013-03-16,138,137,3591734.21,20761,16647,26027.059492753622
2013-03-17,172,170,4401297.64,17101,12496,25588.939767441858
2013-03-18,203,202,4567013.37,22860,18012,22497.602807881773
2013-03-19,218,213,4645433.62,17631,14247,21309.328532110092
2013-03-20,246,242,4992105.19,21762,16804,20293.110528455287
2013-03-21,322,318,7355693.45,22061,17031,22843.76847826087
2013-03-22,306,305,6603332.26,20729,16912,21579.517189542483
2013-03-23,246,242,6009508.61,21609,15589,24428.896788617887
2013-03-24,236,233,5088153.2,20504,16771,21559.971186440678
2013-03-25,216,215,4694308.82,16659,12105,21732.911203703705
2013-03-26,256,252,5731432.22,20555,16341,22388.407109375
2013-03-27,313,311,6872130.59,16879,12285,21955.688785942493
2013-03-28,398,395,8099154.93,18569,14393,20349.635502512563
2013-03-29,369,366,8381683.44,19856,14231,22714.589268292682
2013-03-30,544,538,11636994.38,21034,15942,21391.533786764707
2013-03-31,496,488,9455023.8,21610,16402,19062.54798387097
2013-04-01,516,509,10313848.23,24812,17641,19988.07796511628
2013-04-02,407,405,8250013.05,26607,19633,20270.302334152333
2013-04-03,448,441,8740749.51,26624,19598,19510.601584821427
2013-04-04,175,175,4270660.8,21608,16833,24403.775999999998
2013-04-05,128,128,3073716.42,32435,24802,24013.40953125
2013-04-06,165,163,3663196.56,32500,24533,22201.191272727272
2013-04-07,165,163,2924734.26,27260,21972,17725.66218181818
2013-04-08,192,191,4670874.28,30848,21771,24327.470208333336
2013-04-09,212,212,4293257.18,25156,17669,20251.213113207545
2013-04-10,269,267,6011834.78,29194,23157,22348.828178438664
2013-04-11,194,193,4244755.76,29054,21204,21880.184329896907
2013-04-12,177,176,4282161.81,24892,19582,24193.004576271185
2013-04-13,238,238,5214391.75,27517,21818,21909.209033613446
2013-04-14,209,208,4506492.03,23814,16876,21562.162822966508
2013-04-15,226,223,5167610.5,30902,22373,22865.533185840708
2013-04-16,267,265,5887221.88,27551,21877,22049.520149812735
2013-04-17,344,335,8104639.53,29585,21004,23559.99863372093
2013-04-18,276,273,6536742.64,24098,19494,23683.850144927535
2013-04-19,214,213,5871312.85,27256,21981,27436.041355140183
2013-04-20,253,250,6012115.71,21636,15934,23763.303201581028
2013-04-21,262,261,6323547.99,24267,19025,24135.679351145038
2013-04-22,319,316,7292352.56,28085,22427,22860.039373040752
2013-04-23,370,368,8757473.08,27068,19210,23668.84616216216
2013-04-24,431,428,9358565.61,33819,25856,21713.609303944315
2013-04-25,394,389,9127283.0,25153,20499,23165.692893401014
2013-04-26,270,267,6156392.84,25454,18300,22801.454962962962
2013-04-27,277,276,6420235.09,23854,17383,23177.744007220215
2013-04-28,362,359,9099343.31,26593,20990,25136.30748618785
2013-04-29,584,576,13160942.22,30100,21412,22535.859965753425
2013-04-30,530,524,11190466.86,26638,20421,21114.08841509434
2013-05-01,569,563,13051232.31,25484,20167,22937.139384885766
2013-05-02,512,510,11179665.29,27523,21551,21835.28376953125
2013-05-03,341,339,8173550.12,27201,20147,23969.355190615835
2013-05-04,116,114,3225175.57,26616,18955,27803.23767241379
2013-05-05,149,147,3906711.0,26820,19885,26219.53691275168
2013-05-06,166,165,4311626.38,24933,19563,25973.652891566264
2013-05-07,162,161,3763332.37,28589,21318,23230.44672839506
2013-05-08,211,209,5458168.5,28654,20921,25868.097156398104
2013-05-09,241,238,5815611.07,26771,19690,24131.16626556017
2013-05-10,183,182,4248246.45,26830,19447,23214.461475409837
2013-05-11,171,169,4388803.6,28668,21307,25665.518128654967
2013-05-12,187,185,4298069.68,27438,22374,22984.32983957219
2013-05-13,180,178,4663488.62,26357,19629,25908.270111111113
2013-05-14,221,219,5622176.45,26056,20140,25439.712443438915
2013-05-15,264,261,6416011.44,29084,22687,24303.07363636364
2013-05-16,322,320,7727680.05,26638,19759,23999.006366459627
2013-05-17,253,251,6520355.77,24122,18498,25772.15719367589
2013-05-18,215,213,5126131.05,23202,17262,23842.469999999998
2013-05-19,228,226,5417543.03,25148,20307,23761.15364035088
2013-05-20,236,233,5837064.06,23328,18639,24733.32228813559
2013-05-21,220,219,5156527.79,28407,22048,23438.76268181818
2013-05-22,303,301,6977473.78,25706,19005,23027.966270627065
2013-05-23,365,361,9166919.02,22398,17580,25114.846630136984
2013-05-24,271,264,6670030.19,25714,20338,24612.657527675277
2013-05-25,202,198,5054594.94,26078,21237,25022.747227722775
2013-05-26,143,143,3649585.05,29842,21470,25521.573776223773
2013-05-27,192,190,4403026.04,25522,20808,22932.427291666667
2013-05-28,232,229,6274027.61,25369,18149,27043.222456896554
2013-05-29,338,335,7359639.59,23853,18613,21774.081627218933
2013-05-30,551,548,12828293.48,27287,20624,23281.839346642468
2013-05-31,570,564,13809349.18,26902,19521,24226.92838596491
2013-06-01,566,560,13162597.88,25458,18115,23255.473286219083
2013-06-02,511,508,12079925.72,23735,17119,23639.77636007828
2013-06-03,430,427,9411997.25,25536,19209,21888.365697674417
2013-06-04,209,208,5397308.75,27334,19831,25824.443779904308
2013-06-05,275,275,6860958.96,28445,21988,24948.941672727273
2013-06-06,193,191,5692902.11,26397,18897,29496.902124352335
2013-06-07,157,154,3843507.28,26823,18932,24480.938089171974
2013-06-08,140,139,3646959.35,27553,21069,26049.709642857142
2013-06-09,181,176,3880132.51,24891,19205,21437.196187845304
2013-06-10,177,173,4476887.83,28861,23567,25293.151581920905
2013-06-11,202,201,5003847.86,23368,17790,24771.524059405943
2013-06-12,304,302,7209020.15,25933,21079,23713.882072368422
2013-06-13,253,250,6845836.24,27752,19777,27058.641264822134
2013-06-14,193,190,4871516.57,27755,21197,25241.018497409328
2013-06-15,221,218,5166292.57,26928,21083,23376.889457013574
2013-06-16,226,225,5794009.15,26115,18984,25637.208628318585
2013-06-17,234,234,5795298.96,28092,21312,24766.23487179487
2013-06-18,261,260,6632615.61,25085,19903,25412.32034482759
2013-06-19,306,304,7437341.02,28632,23372,24305.036013071895
2013-06-20,270,266,7078652.68,25557,20425,26217.23214814815
2013-06-21,211,209,5526354.45,29053,21451,26191.253317535546
2013-06-22,205,205,5117274.96,26367,21250,24962.31687804878
2013-06-23,211,208,5844565.63,27355,21580,27699.36317535545
2013-06-24,240,238,5243774.5,26497,21120,21849.060416666667
2013-06-25,283,283,6728887.1,29694,21606,23776.98621908127
2013-06-26,424,421,8817278.13,27207,20220,20795.46728773585
2013-06-27,374,370,7748199.74,26545,20261,20717.111604278074
2013-06-28,328,322,6285354.21,23891,17776,19162.665274390245
2013-06-29,494,488,9546012.78,28947,21255,19323.912510121456
2013-06-30,390,385,7372318.59,26808,20585,18903.381
2013-07-01,326,325,6359864.53,20717,14990,19508.786901840493
2013-07-02,343,340,7209130.33,22158,16944,21017.872682215744
2013-07-03,369,366,8038680.63,20624,16244,21785.042357723578
2013-07-04,93,93,2521315.44,20224,15518,27110.91870967742
2013-07-05,108,107,2494107.65,22308,16026,23093.58935185185
2013-07-06,94,94,2452372.43,19852,14493,26089.068404255322
2013-07-07,116,116,2958215.01,19573,15181,25501.853534482758
2013-07-08,115,115,2571901.18,18865,14238,22364.358086956523
2013-07-09,204,203,4624825.33,22779,18244,22670.712401960784
2013-07-10,199,196,3855254.64,22911,17844,19373.138894472362
2013-07-11,285,285,5785320.61,22159,15665,20299.37056140351
2013-07-12,272,270,6053300.71,21395,17049,22254.782022058822
2013-07-13,190,188,4161301.31,20990,16293,21901.58584210526
2013-07-14,229,224,4482102.22,19989,14732,19572.498777292574
2013-07-15,232,228,4387240.36,18587,13497,18910.51879310345
2013-07-16,218,218,4411030.39,19711,16037,20234.084357798165
2013-07-17,258,255,4475453.64,19882,14587,17346.71953488372
2013-07-18,324,322,6265533.39,19517,13750,19338.06601851852
2013-07-19,287,285,6310739.5,21059,16557,21988.6393728223
2013-07-20,196,195,4157746.85,21432,15474,21212.99413265306
2013-07-21,187,185,4847680.2,22930,16061,25923.423529411764
2013-07-22,235,233,5926190.4,19228,13486,25217.831489361703
2013-07-23,195,194,4436778.28,20992,16978,22752.70912820513
2013-07-24,257,256,7329505.1,23873,18037,28519.475097276263
2013-07-25,275,274,6342757.31,24318,18975,23064.572036363636
2013-07-26,252,249,6941436.71,20769,14594,27545.383769841268
2013-07-27,179,176,4353958.13,18198,12889,24323.788435754188
2013-07-28,224,222,6017516.42,25026,18160,26863.912589285716
2013-07-29,284,283,8158241.16,20760,15605,28726.201267605633
2013-07-30,327,324,7711378.77,22570,17674,23582.198073394495
2013-07-31,530,522,10104475.36,21645,16539,19065.047849056602
2013-08-01,561,556,10998208.4,23532,17995,19604.649554367203
2013-08-02,450,449,7422715.15,22089,17760,16494.922555555557
2013-08-03,381,378,5599602.67,19760,15958,14697.119868766404
2013-08-04,317,315,5021938.29,22135,16046,15842.07662460568
2013-08-05,142,142,2231563.34,25518,20607,15715.234788732394
2013-08-06,139,138,2493225.51,21270,15427,17936.87417266187
2013-08-07,178,177,2638845.23,21729,17596,14824.97320224719
2013-08-08,227,225,3065089.0,25048,20133,13502.594713656388
2013-08-09,178,176,2598855.08,21871,16990,14600.309438202248
2013-08-10,126,126,1776113.02,22931,17591,14096.13507936508
2013-08-11,142,141,2074476.53,20544,15209,14608.989647887323
2013-08-12,148,147,1933036.01,24576,17742,13061.054121621622
2013-08-13,174,173,2531884.21,19843,14706,14551.05867816092
2013-08-14,212,212,2791478.67,23377,16422,13167.352216981131
2013-08-15,260,257,3665019.45,24562,17671,14096.228653846154
2013-08-16,239,239,3619170.1,21594,15178,15142.971129707114
2013-08-17,219,215,3066137.96,25258,19092,14000.6299543379
2013-08-18,158,157,2385617.18,24646,19117,15098.842911392407
2013-08-19,185,184,2870843.18,23836,16878,15518.071243243245
2013-08-20,173,172,2730112.88,23145,16573,15780.99930635838
2013-08-21,192,190,2707776.73,22174,17667,14103.003802083333
2013-08-22,250,246,3821233.2,20674,16052,15284.9328
2013-08-23,239,235,3454696.96,21969,16007,14454.7989958159
2013-08-24,195,194,2837188.07,22020,16468,14549.68241025641
2013-08-25,181,180,3018860.44,23027,18302,16678.786961325968
2013-08-26,216,216,3465971.03,23617,17269,16046.162175925925
2013-08-27,227,227,3008572.56,23901,18422,13253.623612334803
2013-08-28,267,265,3749158.5,21366,17094,14041.792134831461
2013-08-29,448,446,6385124.62,23147,16818,14252.5103125
2013-08-30,394,392,5499141.72,26500,20681,13957.212487309644
2013-08-31,412,407,6810100.27,23963,18130,16529.36958737864
2013-09-01,382,379,6018993.92,17091,12233,15756.528586387434
2013-09-02,300,296,5386759.65,15376,12350,17955.8655
2013-09-03,168,166,4126941.12,15581,10983,24565.125714285714
2013-09-04,196,196,5401049.96,16020,12505,27556.377346938774
2013-09-05,118,117,3168900.6,16582,13189,26855.089830508474
2013-09-06,114,113,2705040.33,16237,13287,23728.42394736842
2013-09-07,113,113,2468479.29,15613,12209,21844.94946902655
2013-09-08,130,130,3056823.21,16962,13239,23514.024692307692
2013-09-09,144,143,3771227.87,18127,13415,26189.082430555558
2013-09-10,220,214,5357130.97,17160,14066,24350.59531818182
2013-09-11,168,168,4636476.74,16910,11894,27598.075833333336
2013-09-12,149,148,3865949.23,15632,11865,25945.96798657718
2013-09-13,125,125,3034568.95,17916,12765,24276.551600000003
2013-09-14,155,155,3664631.38,16694,12421,23642.783096774194
2013-09-15,128,126,3078369.62,15207,11403,24049.76265625
2013-09-16,164,163,3927167.34,16977,12773,23946.14231707317
2013-09-17,241,238,5410121.46,19210,15448,22448.636763485476
2013-09-18,186,186,4460453.69,19581,14167,23980.933817204303
2013-09-19,140,138,2995364.48,15000,11585,21395.46057142857
2013-09-20,150,150,3316913.08,18009,13483,22112.753866666666
2013-09-21,143,141,3799564.88,16298,12409,26570.383776223774
2013-09-22,137,135,3243304.2,17457,13570,23673.753284671533
2013-09-23,182,181,4426354.9,13116,10363,24320.63131868132
2013-09-24,226,225,4673257.46,18830,14326,20678.130353982302
2013-09-25,200,199,4851490.55,16433,12462,24257.45275
2013-09-26,163,162,4120039.5,16255,11501,25276.315950920245
2013-09-27,217,215,4676571.41,15631,12772,21551.020322580647
2013-09-28,343,338,7035889.97,19359,15652,20512.798746355686
2013-09-29,270,270,5087376.98,19815,14640,18842.136962962966
2013-09-30,276,274,5768935.23,17778,13505,20901.939239130435
2013-10-01,253,251,5389130.81,13710,9680,21300.912292490117
2013-10-02,221,213,5393969.29,12941,9851,24407.100859728507
2013-10-03,71,70,2026611.74,13080,9748,28543.82732394366
2013-10-04,99,96,2912944.43,15477,12022,29423.681111111113
2013-10-05,93,93,2463961.82,13994,10098,26494.213118279567
2013-10-06,107,107,2875234.12,14105,11490,26871.34691588785
2013-10-07,90,90,2084519.3,12570,9552,23161.325555555555
2013-10-08,116,116,2982770.86,13093,10025,25713.541896551724
2013-10-09,146,143,3524600.98,12218,9764,24141.102602739727
2013-10-10,144,144,4018321.34,13055,10029,27905.009305555555
2013-10-11,90,89,1938342.36,13725,9778,21537.137333333336
2013-10-12,115,115,3170838.37,13023,10257,27572.50756521739
2013-10-13,132,131,3719451.39,13045,9157,28177.66204545455
2013-10-14,119,116,3097590.81,14459,11334,26030.17487394958
2013-10-15,155,154,4062456.23,13895,11304,26209.395032258064
2013-10-16,190,188,4801027.51,12929,9667,25268.56584210526
2013-10-17,149,148,3348412.32,12216,9304,22472.56590604027
2013-10-18,139,136,3238854.55,12323,9163,23301.111870503595
2013-10-19,138,138,3376648.2,11963,9407,24468.465217391305
2013-10-20,143,142,2888479.98,14009,10602,20199.1606993007
